"","longitude","latitude","housing_median_age","population","households","median_income","median_house_value","mean_bedrooms","mean_rooms","location"
"130",-122.2,37.84,30,844,343,6.0666,311500,1.00874635568513,6.44606413994169,"NEAR BAY"
"131",-122.21,37.84,34,1140,496,7.0548,325900,0.987903225806452,6.125,"NEAR BAY"
"133",-122.2,37.84,35,1072,443,7.4882,319300,1.03837471783296,6.46726862302483,"NEAR BAY"
"134",-122.21,37.83,34,1627,766,6.8976,333300,1.02872062663185,6.61227154046997,"NEAR BAY"
"135",-122.19,37.83,28,463,190,8.2049,335200,0.968421052631579,6.97894736842105,"NEAR BAY"
"136",-122.2,37.83,26,542,211,8.401,351200,1.05687203791469,7.53080568720379,"NEAR BAY"
"137",-122.19,37.83,29,661,269,6.8538,368900,1.00743494423792,6.65799256505576,"NEAR BAY"
"138",-122.19,37.82,32,635,263,8.317,365900,1.00380228136882,6.97718631178707,"NEAR BAY"
"139",-122.2,37.82,37,420,176,7.0175,366700,1.02840909090909,6.98295454545455,"NEAR BAY"
"140",-122.2,37.82,39,1265,500,6.3302,362800,1.068,7.54,"NEAR BAY"
"141",-122.18,37.81,30,126,52,6.3624,483300,0.730769230769231,5.61538461538461,"NEAR BAY"
"142",-122.21,37.82,52,813,350,7.0549,331400,0.951428571428571,6.78571428571429,"NEAR BAY"
"143",-122.2,37.81,45,1067,426,6.7851,323500,1.02347417840376,6.95774647887324,"NEAR BAY"
"144",-122.21,37.8,50,1260,552,2.8929,216700,1.09601449275362,5.13224637681159,"NEAR BAY"
"145",-122.21,37.8,38,951,487,3.0812,233100,1.09856262833676,4.62833675564682,"NEAR BAY"
"146",-122.21,37.81,52,510,224,5.2402,296400,0.946428571428571,6.20089285714286,"NEAR BAY"
"147",-122.22,37.81,52,765,308,6.5217,273700,1.08766233766234,6.39935064935065,"NEAR BAY"
"148",-122.22,37.8,52,1129,460,3.2632,227700,1.01086956521739,4.74565217391304,"NEAR BAY"
"149",-122.22,37.8,52,1073,441,3.0298,199600,1.05215419501134,5.18367346938776,"NEAR BAY"
"150",-122.22,37.8,52,1185,515,4.5428,239800,1.0504854368932,5.28349514563107,"NEAR BAY"
"151",-122.22,37.81,52,756,340,4.072,270100,0.997058823529412,5.95294117647059,"NEAR BAY"
"152",-122.22,37.81,52,1034,521,5.3509,302100,1.02879078694818,5.65067178502879,"NEAR BAY"
"153",-122.23,37.8,52,787,459,3.1603,269500,1.05882352941176,4.42919389978213,"NEAR BAY"
"154",-122.23,37.81,52,612,213,4.7708,314700,1.07511737089202,6.72769953051643,"NEAR BAY"
"155",-122.22,37.81,52,1021,380,8.1564,390100,1.05789473684211,7.70263157894737,"NEAR BAY"
"156",-122.23,37.81,52,861,258,8.8793,410300,1.13178294573643,8.97286821705426,"NEAR BAY"
"157",-122.24,37.81,52,953,327,6.8591,352400,0.957186544342508,7.59938837920489,"NEAR BAY"
"158",-122.24,37.81,52,634,256,6.0302,287300,0.9296875,5.8203125,"NEAR BAY"
"159",-122.23,37.81,52,878,352,7.508,348700,1.03693181818182,7.99431818181818,"NEAR BAY"
"160",-122.24,37.81,52,918,483,2.7477,243800,1.13871635610766,4.33333333333333,"NEAR BAY"
"161",-122.24,37.8,52,360,175,2.1944,211500,0.96,5.07428571428571,"NEAR BAY"
"162",-122.25,37.8,52,1197,488,3.0149,218400,1.04508196721311,4.2766393442623,"NEAR BAY"
"163",-122.24,37.81,52,1048,518,3.675,269900,0.969111969111969,4.85135135135135,"NEAR BAY"
"164",-122.25,37.81,46,1373,747,3.225,218800,1.11780455153949,4.32663989290495,"NEAR BAY"
"165",-122.25,37.8,42,1715,1015,2.9345,225000,1.04926108374384,4.05911330049261,"NEAR BAY"
"166",-122.25,37.8,43,1359,722,2.1429,250000,1.09695290858726,3.27423822714681,"NEAR BAY"
"167",-122.25,37.8,41,1062,413,1.6121,171400,1.13559322033898,3.56174334140436,"NEAR BAY"
"168",-122.25,37.8,29,1335,773,1.3929,193800,1.11772315653299,3.19275549805951,"NEAR BAY"
"169",-122.24,37.79,27,1171,429,2.3173,125000,1.14685314685315,3.8041958041958,"NEAR BAY"
"170",-122.25,37.79,45,1475,460,1.7772,97500,1.14347826086957,3.88260869565217,"NEAR BAY"
"171",-122.25,37.79,50,742,196,2.6458,125000,0.959183673469388,3.20918367346939,"NEAR BAY"
"172",-122.25,37.79,52,1086,363,2.181,138800,1.0771349862259,3.68870523415978,"NEAR BAY"
"173",-122.25,37.8,36,1645,543,2.2303,116700,1.11602209944751,3.0902394106814,"NEAR BAY"
"174",-122.25,37.8,43,1710,644,1.6504,151800,1.00465838509317,3.63975155279503,"NEAR BAY"
"175",-122.24,37.8,52,731,228,2.2697,127000,1,4.36842105263158,"NEAR BAY"
"176",-122.24,37.8,52,1118,347,2.1563,128600,1.07492795389049,4.5850144092219,"NEAR BAY"
"177",-122.24,37.8,52,1006,335,2.1348,140600,1.18805970149254,4.73432835820896,"NEAR BAY"
"178",-122.24,37.8,47,1213,554,2.6292,182700,1.06137184115523,3.69314079422383,"NEAR BAY"
"179",-122.23,37.8,52,772,257,2.3833,146900,1.12451361867704,4.63813229571984,"NEAR BAY"
"180",-122.24,37.8,52,1321,401,2.957,122800,1.04738154613466,4.49625935162095,"NEAR BAY"
"181",-122.24,37.8,49,1487,677,2.5238,169300,1.10635155096012,4.19202363367799,"NEAR BAY"
"182",-122.23,37.8,52,488,186,1.9375,126600,0.989247311827957,4.20967741935484,"NEAR BAY"
"183",-122.23,37.8,51,949,392,1.9028,127900,1.05612244897959,4.05612244897959,"NEAR BAY"
"184",-122.23,37.8,50,1149,415,2.25,123500,1.1566265060241,4.20722891566265,"NEAR BAY"
"185",-122.23,37.8,52,844,280,2.3929,111900,1.06785714285714,4.47142857142857,"NEAR BAY"
"186",-122.23,37.79,43,4367,1231,2.1917,112800,1.09179528838343,4.84402924451665,"NEAR BAY"
"187",-122.23,37.79,52,1659,412,2.9357,107900,0.95873786407767,4.32766990291262,"NEAR BAY"
"188",-122.23,37.79,30,1011,263,1.8854,137500,1.00380228136882,3.79847908745247,"NEAR BAY"
"189",-122.24,37.79,39,1464,389,2.1638,105500,1.10796915167095,3.77634961439589,"NEAR BAY"
"190",-122.24,37.79,47,1237,303,2.125,95500,1.3036303630363,4.52805280528053,"NEAR BAY"
"191",-122.24,37.79,52,647,168,3.375,116100,1.07142857142857,4.01190476190476,"NEAR BAY"
"192",-122.24,37.79,43,1284,357,2.2542,112200,1.05322128851541,4.5546218487395,"NEAR BAY"
"193",-122.25,37.79,51,228,55,2.1,75000,0.781818181818182,3.18181818181818,"NEAR BAY"
"194",-122.25,37.79,39,381,123,1.6,112500,1.04878048780488,3.7479674796748,"NEAR BAY"
"195",-122.25,37.79,52,846,227,3.625,125000,1.04405286343612,3.97356828193833,"NEAR BAY"
"196",-122.26,37.8,20,1659,676,1.6929,115000,1.15236686390533,3.5103550295858,"NEAR BAY"
"197",-122.22,37.77,52,520,138,1.6471,95000,0.927536231884058,2.83333333333333,"NEAR BAY"
"198",-122.22,37.77,52,866,259,2.59,96400,1.16216216216216,4.38996138996139,"NEAR BAY"
"199",-122.23,37.77,52,612,183,2.57,72000,1.12568306010929,4.20218579234973,"NEAR BAY"
"200",-122.23,37.78,52,415,126,2.6429,71300,1.15873015873016,3.74603174603175,"NEAR BAY"
"201",-122.23,37.78,52,994,213,3.0257,80800,1.0093896713615,4.04694835680751,"NEAR BAY"
"202",-122.22,37.78,50,1525,477,1.4886,128800,1.11111111111111,4.0251572327044,"NEAR BAY"
"203",-122.23,37.78,43,1506,438,1.9338,112500,1.07762557077626,3.24200913242009,"NEAR BAY"
"204",-122.23,37.78,52,1008,255,1.4844,119400,1.01176470588235,3.86666666666667,"NEAR BAY"
"205",-122.23,37.78,44,2813,751,1.6009,118100,1.09853528628495,3.11584553928096,"NEAR BAY"
"206",-122.23,37.79,48,1481,343,2.0375,122500,1.15451895043732,4.94460641399417,"NEAR BAY"
"207",-122.23,37.79,49,859,219,2.293,106300,0.990867579908676,5.36529680365297,"NEAR BAY"
"208",-122.22,37.79,37,1608,523,2.1494,132500,1.09751434034417,4.47992351816444,"NEAR BAY"
"209",-122.23,37.79,30,425,140,1.6198,122700,1.03571428571429,4.35714285714286,"NEAR BAY"
"210",-122.23,37.79,40,564,184,1.3281,113300,1.08152173913043,5.05434782608696,"NEAR BAY"
"211",-122.22,37.79,44,961,272,3.5156,109500,1.15441176470588,5.46691176470588,"NEAR BAY"
"212",-122.22,37.79,52,2273,685,3.9048,164700,1.00729927007299,4.9985401459854,"NEAR BAY"
"213",-122.21,37.79,52,600,195,3.0893,125000,0.974358974358974,3.90769230769231,"NEAR BAY"
"214",-122.22,37.79,46,1647,527,2.6042,124700,1.09108159392789,4.48956356736243,"NEAR BAY"
"215",-122.22,37.79,49,1201,424,2.5,136700,1.06132075471698,4.30660377358491,"NEAR BAY"
"216",-122.22,37.79,38,2167,659,2.7969,141700,1.07890743550835,4.62670713201821,"NEAR BAY"
"217",-122.2,37.79,29,939,340,2.8321,150000,1.10588235294118,4.82352941176471,"NEAR BAY"
"218",-122.21,37.79,47,859,292,2.9583,138800,1.0513698630137,5.28424657534247,"NEAR BAY"
"219",-122.21,37.79,34,1517,516,2.8365,139200,1.07945736434109,4.58139534883721,"NEAR BAY"
"220",-122.21,37.79,35,1143,386,2.875,143800,1.05958549222798,4.52072538860104,"NEAR BAY"
"221",-122.21,37.8,39,1109,464,3.0682,156500,1.07758620689655,4.31681034482759,"NEAR BAY"
"222",-122.21,37.8,39,1221,446,3.0757,151000,1.00224215246637,4.52466367713004,"NEAR BAY"
"223",-122.2,37.8,43,1115,455,4.9559,273000,1.0967032967033,6.69230769230769,"NEAR BAY"
"224",-122.2,37.8,52,706,268,4.7721,217100,1.09328358208955,5.77238805970149,"NEAR BAY"
"225",-122.21,37.8,52,1883,706,3.4861,187100,1.0070821529745,4.98441926345609,"NEAR BAY"
"226",-122.2,37.8,41,804,340,5.1184,239600,1.04117647058824,6.08823529411765,"NEAR BAY"
"227",-122.21,37.8,48,506,252,4.0977,229700,1.04365079365079,5.24206349206349,"NEAR BAY"
"228",-122.19,37.8,48,610,238,4.744,257300,1.08823529411765,7.11764705882353,"NEAR BAY"
"229",-122.19,37.8,46,768,332,4.2727,246900,1.02710843373494,5.83734939759036,"NEAR BAY"
"230",-122.19,37.79,50,462,184,2.9844,179900,1.05978260869565,5.26086956521739,"NEAR BAY"
"231",-122.2,37.79,40,667,235,4.1739,169600,1.08936170212766,4.51063829787234,"NEAR BAY"
"232",-122.2,37.8,46,1059,399,3.8487,203300,1.01503759398496,5.11528822055138,"NEAR BAY"
"233",-122.19,37.8,52,637,277,4.0114,263400,0.978339350180505,6.54512635379061,"NEAR BAY"
"234",-122.19,37.79,45,1106,454,4.6563,231800,0.993392070484581,5.98678414096916,"NEAR BAY"
"235",-122.19,37.79,28,1737,669,2.9297,140500,1.13751868460389,4.69955156950673,"NEAR BAY"
"236",-122.2,37.79,35,1009,390,2.3036,126000,1.17692307692308,4.62051282051282,"NEAR BAY"
"237",-122.2,37.79,49,737,210,2.6667,122000,0.928571428571429,4.2,"NEAR BAY"
"238",-122.2,37.79,44,1354,491,2.619,134700,0.920570264765784,3.30142566191446,"NEAR BAY"
"239",-122.21,37.79,45,1530,474,2.4167,139400,1.12447257383966,4.4620253164557,"NEAR BAY"
"240",-122.2,37.79,45,1410,480,2.7788,115400,1.1,4.21041666666667,"NEAR BAY"
"241",-122.21,37.78,46,1390,569,2.7352,137300,0.892794376098418,3.93497363796134,"NEAR BAY"
"242",-122.21,37.78,52,1065,269,1.8472,137000,1.11524163568773,5.4907063197026,"NEAR BAY"
"243",-122.21,37.78,52,792,245,2.6583,142600,0.914285714285714,4.31020408163265,"NEAR BAY"
"244",-122.21,37.78,49,779,245,3.0536,137500,0.995918367346939,3.66530612244898,"NEAR BAY"
"245",-122.22,37.78,44,2269,610,2.3906,111700,1.16393442622951,4.8655737704918,"NEAR BAY"
"246",-122.21,37.78,43,1227,407,1.7188,126800,1.13022113022113,4.18181818181818,"NEAR BAY"
"247",-122.21,37.78,47,753,241,2.625,111300,1.02904564315353,3.65560165975104,"NEAR BAY"
"248",-122.22,37.77,40,547,135,2.8015,114800,0.844444444444444,3.65925925925926,"NEAR BAY"
"249",-122.22,37.78,50,1807,440,1.7276,102300,1.075,4.03636363636364,"NEAR BAY"
"250",-122.22,37.78,44,1700,495,2.0801,131900,1.03838383838384,3.38989898989899,"NEAR BAY"
"251",-122.22,37.78,51,1543,393,2.489,119100,1.17811704834606,4.16539440203562,"NEAR BAY"
"252",-122.21,37.76,52,1085,300,1.7546,80600,1.04666666666667,4.73333333333333,"NEAR BAY"
"253",-122.21,37.77,52,353,137,4.0904,80600,1.26277372262774,4.31386861313869,"NEAR BAY"
"254",-122.21,37.77,52,473,149,2.6765,88800,1.02684563758389,5,"NEAR BAY"
"255",-122.2,37.77,49,1621,483,2.4338,102400,1.03105590062112,4.70393374741201,"NEAR BAY"
"256",-122.21,37.77,46,1183,354,2.3309,98700,1.05932203389831,3.48587570621469,"NEAR BAY"
"257",-122.21,37.77,43,836,277,2.2604,1e+05,1.1841155234657,3.67148014440433,"NEAR BAY"
"258",-122.19,37.77,42,900,263,1.8039,92300,0.965779467680608,3.54372623574144,"NEAR BAY"
"259",-122.2,37.77,39,1888,537,2.2562,94800,1.11173184357542,5.00744878957169,"NEAR BAY"
"260",-122.2,37.77,41,1024,341,2.0562,102000,1.21700879765396,4.5366568914956,"NEAR BAY"
"261",-122.2,37.78,52,1225,423,3.5398,158400,1.04728132387707,5.43735224586288,"NEAR BAY"
"262",-122.2,37.78,39,1071,376,3.1167,121600,1.06117021276596,4.65957446808511,"NEAR BAY"
"263",-122.2,37.78,50,1128,378,2.5401,129100,1.06613756613757,4.93915343915344,"NEAR BAY"
"264",-122.2,37.77,43,1537,484,2.898,121400,1.03719008264463,5.02066115702479,"NEAR BAY"
"265",-122.21,37.78,44,1240,393,2.3125,102800,1.05343511450382,4.39949109414758,"NEAR BAY"
"266",-122.19,37.78,52,469,168,2.875,160000,1.07142857142857,6.10714285714286,"NEAR BAY"
"267",-122.19,37.77,52,1086,425,3.3715,143900,1.00705882352941,5.10588235294118,"NEAR BAY"
"268",-122.19,37.77,52,1144,417,3.5114,151200,1.06714628297362,5.58513189448441,"NEAR BAY"
"269",-122.19,37.78,52,1109,375,4.3125,164400,1.10666666666667,6.64533333333333,"NEAR BAY"
"270",-122.19,37.78,52,984,369,3.22,156500,1.07588075880759,5.95663956639566,"NEAR BAY"
